,Shoes_Description,Shoes_brand,Shoes_Prices
292,Lifestyle Sneaker Shoes for Men | Soft Cushioned Insole...,RED TAPE,"₹1,379"
293,Crystal-13 Black sky Sports Transparent Sole Technology...,asian,"₹1,399"
294,Newton-06 Running Shoes For Men,asian,₹649
295,CHICAGO-O Running Shoes For Men,Abros,₹499
296,Trendy Chunky Classic Fashion Casual Sneakers Boot /Cas...,Zixer,₹662
297,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
298,Raze Badminton Shoes For Men,Hundred,"₹1,462"
299,STREET-RUN Running Shoes For Men,CAMPUS,"₹1,348"
300,Sneakers For Men,ATOM,"₹1,289"
301,Shoes for Men6 Walking Shoes For Men,Rover Shoes,₹629
302,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,119"
303,GEL-ASRO Running Shoes For Men,Asics,"₹3,302"
304,0224 lestest Formal shoes/Comfortable shoes black/Styli...,Bonsar,₹394
305,Jauntza M Running Shoes For Men,ADIDAS,"₹1,479"
306,Boots For Men,Kraasa,₹599
307,Sneakers For Men,ATOM,"₹1,289"
308,"Sunshine-01 Pink Sneakers,Casuals,Loafers Walking Shoes...",asian,₹639
309,KL8040 Lightweight Comfort Summer Trendy Premium Stylis...,KILLER,₹599
310,Boots For Men,Layasa,₹499
311,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹629
312,Walking Shoes For Men,PETER ENGLAND,₹469
313,EQUALIZER 4.0 - WRAITHERN Running Shoes For Men,Skechers,"₹2,699"
314,AstoundRun M Running Shoes For Men,ADIDAS,"₹1,655"
315,Running Shoes For Men,M7 By Metronaut,₹845
316,Sneakers For Men,ATOM,"₹1,289"
317,Street Pro Lock=Tala Sneaker/Casual Lock Sneakers For B...,Zixer,₹661
318,"SPECIAL 001 Sports shoes, Running, Walking, Lightweight...",JQR,₹799
319,OXYFIT (N) Running Shoes For Men,CAMPUS,₹599
320,"ZOOM Sports shoes, Running, Walking, Lightweight, Gym, ...",JQR,₹999
321,Sneakers For Men,ATOM,"₹1,289"
322,FUSION RUNNER Running Shoes For Men,HRX by Hrithik Roshan,"₹1,004"
323,Vegas High Tops For Men,PUMA,"₹2,699"
324,Casual Sneakers White Shoes For Girls And Sneakers For ...,Layasa,₹399
325,DYNAMIC RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,155"
326,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹629
327,Boots For Men,Layasa,₹499
328,"Firefly-09 Grey Gym,Sports,Walking,Stylish Running Shoe...",asian,₹729
329,WALK Running Shoes For Men,CAMPUS,₹799
330,Sports shoes for men|Stylish Casual sport shoes for men...,Airson,₹599
331,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
332,"Waterproof-17 Grey Sports,Walking,Gym,Training,Stylish ...",asian,₹759
333,EQUALIZER 4.0 - WRAITHERN Running Shoes For Men,Skechers,"₹2,699"
334,CLARKIN Sneakers For Men,U.S. POLO ASSN.,"₹1,489"
335,"Innova-04 Grey Sports,Walking,Training,Gym,Stylish Runn...",asian,"₹1,099"
336,Sports Running Shoes for men | Gym Training Walking Tre...,Airson,₹879
337,Boots For Men,Layasa,₹499
338,SM-671 Sneakers For Men,Sparx,₹859
339,CLAIRE (Collector's Edition) Casuals For Women,CAMPUS,"₹1,199"
340,Men's Fighter 555 Boots For Men,BIG FOX,₹899
341,XC72 Sneakers For Men,New Balance,"₹7,799"
342,Metaflash 2.0 Running Shoes For Men,HRX by Hrithik Roshan,"₹1,364"
343,"Plasma-05 White Sports,Walking,Casual, Running Shoes Fo...",asian,₹599
344,Running Shoes For Men,asian,₹599
345,STREET-RUN Running Shoes For Men,CAMPUS,"₹1,317"
346,Junior Zero1 Sports shoes for Men | Gym Training Walkin...,Airson,"₹1,279"
347,Sneakers For Men,ATOM,"₹1,289"
348,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,023"
349,NOOR PLUS Running Shoes For Women,CAMPUS,₹799
350,Vegas High Tops For Men,PUMA,"₹2,699"
351,"Stylish Comfortable Lightweight, Breathable Socks Sport...",RGY,₹599
352,Sneakers For Men Sneakers For Men,Footox,₹449
353,"Ankle Length Boots for Men | Soft Cushioned Insole, Sli...",RED TAPE,"₹1,519"
354,MADRYN 2.O Sneakers For Men,U.S. POLO ASSN.,"₹1,629"
355,Casual Sport Shoes For Men Lightweight & Extra-Comforta...,Unistar,₹499
356,High Ankle Riding Boots for Hiking & Trekking | Mild Wa...,Unistar,₹999
357,High Ankle Riding Boots for Hiking & Trekking | Mild Wa...,Unistar,"₹1,249"
358,UP Sneakers For Men,PUMA,"₹1,919"
359,Stride Runner M Running Shoes For Men,REEBOK,"₹1,119"
360,Sneakers For Men,Bacan,₹560
361,Sneakers For Women,Layasa,₹460
362,"Ultra-Lightweight, Breathable, Walking, Running,Gyming ...",density,₹499
363,Cute sports shoes for women | Running shoes for girls s...,asian,₹649
364,EQUALIZER 4.0 - BAYLOCK Walking Shoes For Men,Skechers,"₹2,699"
365,PETER Running Shoes For Men,Abros,"₹1,259"
366,Lite Sports Shoes Running Shoes For Men,BRUTON,₹549
367,Stylish Casual Sports Shoe Sneakers For Women,Layasa,₹425
368,Carnival-02 Mens High Top Casual Chunky Fashion Sneaker...,asian,"₹1,099"
369,Zooter Cricket Shoes For Men,DSC,₹898
370,GROOVY Mid-Top Casual Chunky Streetwear Fashion Sneaker...,Kraasa,₹599
371,Stylish High Tops For Men,lejano,₹585
372,Lattest Sneakers Shoe Sneakers For Men,BRUTON,₹349
373,Wildcraft Terra Lite LA Hiking & Trekking Shoes For Men,Wildcraft,"₹1,589"
374,ACTIVE RUN Running Shoes For Men,HRX by Hrithik Roshan,₹973
375,OG-D4 Sneakers For Men,CAMPUS,₹699
376,GLYCERIN 20 Running Shoes For Men,BROOKS,"₹7,743"
377,Sneakers For Men,ATOM,"₹1,289"
378,SIMBA PRO Running Shoes For Men,CAMPUS,"₹1,249"
379,White Blue Trendy Walking Running Shoes For Men,CLYMB,₹589
380,Women's Mesh Sports Shoes Walking Sneakers For Women,Layasa,₹419
381,Shoes for Men6 Walking Shoes For Men,Rover Shoes,₹629
382,Mesh Mushy Casuals For Men,Bata,₹379
383,Raze Badminton Shoes For Men,Hundred,"₹1,454"
384,"Express-08 Sports, Training, Gym, Walking Shoes For Men",asian,₹749
385,SM-438 Camel Running Shoes For Men,Sparx,"₹1,367"
386,Boots For Men,Kraasa,₹599
387,Sneakers For Men,ATOM,"₹1,289"
388,X-Ray 2 Square Sneakers For Men,PUMA,"₹3,231"
389,Slip On For Men,Bata,₹799
390,Loafers For Men,Bacan,₹549
391,Boots For Men,Layasa,₹499
392,Jaffa 22 UK 7 Sea Green Fluro Orange Cricket Shoes For ...,DSC,"₹1,679"
393,"Superwalk-08 Navy Slipon Sports,Walking,Casual, Walking...",asian,₹799
394,URBAN CHUNKY Sneakers For Men,HRX by Hrithik Roshan,₹997
395,Sneakers For Men,Layasa,₹329
396,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹629
397,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
398,MAGNUS Lace Up For Men,Bata,₹889
399,Elite Runner Running Shoes For Men,HRX by Hrithik Roshan,₹767
400,Sneakers For Men,ATOM,"₹1,289"
401,Sneakers For Men,ATOM,"₹1,289"
402,"Newton-06 Grey Sports,Casual,Walking,Training,Gym,Styli...",asian,₹649
403,Sneakers For Men,PETER ENGLAND,₹739
