,Shoes_Description,Shoes_brand,Shoes_Prices
200,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
201,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
202,Casuals For Women,CAMPUS,₹789
203,FIT-MAN Loafers For Men,BRUTON,₹149
204,"Everest-01 Navy Sports,Gym,Training,Walking,Stylish Out...",asian,₹999
205,Hiking/Snow boots for men for outdoor Trekking - Water ...,asian,"₹1,449"
206,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
207,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
208,CriHase 23 Cricket Shoes For Men,ADIDAS,"₹2,119"
209,SM-648 Running Shoes For Men,Sparx,₹865
210,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
211,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
212,SM-702 Running Shoes For Men,Sparx,₹679
213,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
214,Sprintfit Running Shoes For Men,REEBOK,"₹1,248"
215,Flash Athletic Running Shoes For Men,REEBOK,"₹2,064"
216,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
217,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
218,DYNAMIC RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,014"
219,CLUB CULTURE Casuals For Men,HRX by Hrithik Roshan,₹962
220,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
221,Cricket Spikes Shoes Cricket Shoes For Men Cricket Shoe...,Proase,"₹1,199"
222,Fashionable Canvas Casual Partywear Outdoor Sneakers wh...,kardam&sons,₹369
223,Hustle V2 Running Shoes For Men,PUMA,"₹1,199"
224,GEL CONTEND 5B Running Shoes For Men,Asics,"₹2,153"
225,Loafers For Men,AJANTA,₹289
226,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹489
227,Running Shoes For Men,richerson,"₹1,183"
228,Blot K1220G Comfortable Daily Outdoor Canvas Shoes For ...,Paragon,₹649
229,Stride Runner M Running Shoes For Men,REEBOK,"₹1,047"
230,Spring Edge Alpha 1 Sneakers For Men,ATOM,"₹1,435"
231,Cricket Spikes Shoes Cricket Shoes For Men Cricket Shoe...,Proase,"₹1,199"
232,Cricket Classicat Cricket Shoes For Men,PUMA,"₹1,440"
233,Shoes for Men | Sneaker for Men | Shoes for Mens | Spor...,Footox,₹295
234,SM-671 Sneakers For Men,Sparx,₹849
235,OG-D2 Sneakers For Men,CAMPUS,₹649
236,"Signature Sports shoes, Running, Walking, Lightweight, ...",JQR,"₹1,444"
237,"RUMBA Sports shoes, Running, Walking, Lightweight, Gym,...",JQR,"₹1,199"
238,Energy Runner 2.0 Running Shoes For Men,REEBOK,"₹1,047"
239,Sneakers For Women,Deals4you,₹399
240,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
241,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
242,ANNIE Running Shoes For Women,CAMPUS,₹989
243,MILAN Running Shoes For Men,CAMPUS,₹839
244,RAPID RUN Running Shoes For Men,HRX by Hrithik Roshan,"₹1,023"
245,"Delta-21 Black Sports,Casual,Walking,Gym, Running Shoes...",asian,₹899
246,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
247,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
248,HIGH HEEL SHOES Sneakers For Women,VENDOZ,₹699
249,Motion Pulse M Casuals For Men,REEBOK,"₹1,200"
250,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
251,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
252,Gambit Sneakers For Men,PUMA,"₹1,589"
253,Turin 3 Sneakers For Men,PUMA,"₹2,304"
254,"SL-191 Sports Running Walking Jogging Slip On Sneakers,...",Sparx,₹489
255,STREET-RUN Running Shoes For Men,CAMPUS,"₹1,047"
256,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
257,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
258,"Sports Walking Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,179"
259,"HUNTER Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
260,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
261,BCK8020 Lightweight Comfort Summer Trendy Premium Styli...,Bucik,₹489
262,STREET-RUN Running Shoes For Men,CAMPUS,"₹1,047"
263,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,379"
264,Sneakers For Men,U.S. POLO ASSN.,"₹1,309"
265,SM-676 Running Shoes For Men,Sparx,"₹1,105"
266,Cricket Spikes Shoes Cricket Shoes For Men Cricket Shoe...,Proase,"₹1,199"
267,Running Shoes For Men,richerson,"₹1,183"
268,Stylish Casual Sports Shoe Running Shoes For Women,Layasa,₹499
269,DAVID Running Shoes For Men,Abros,"₹1,262"
270,Spring Edge Alpha 1 Sneakers For Men,ATOM,"₹1,435"
271,Cricket Spikes Shoes Cricket Shoes For Men Cricket Shoe...,Proase,"₹1,199"
272,TERMINATOR (N) Running Shoes For Men,CAMPUS,"₹1,389"
273,"Delta-20 Black Sports,Casual,Walking,Gym, Walking Shoes...",asian,₹799
274,RODEO PRO Running Shoes For Men,CAMPUS,₹567
275,Voyager M Running Shoes For Men,REEBOK,"₹1,214"
276,"Signature Sports shoes, Running, Walking, Lightweight, ...",JQR,"₹1,444"
277,"RUMBA Sports shoes, Running, Walking, Lightweight, Gym,...",JQR,"₹1,199"
278,Office Formal Shoes Slip On For Men,Bata,₹829
279,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,BERSACHE,₹911
280,"LightWeight Durable Sports,outdoor,walking,Running ,gym...",Hambler,₹297
281,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
282,BP-723 Running Shoes For Men,CAMPUS,₹589
283,Pacer Fire Sneakers For Men,PUMA,"₹1,228"
284,"Newton-09 White Sports,Casual,Walking,Gym,Stylish Runni...",asian,₹699
285,CozySock Walking Shoes For Women,Kraasa,₹319
286,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
287,MIKE (N) Running Shoes For Men,CAMPUS,"₹1,159"
288,Century-12 Running shoes for boys | sports shoes for me...,asian,₹599
289,"StreetLook Best Quality & Official, Partywear, Shoes La...",streetLOOK,₹469
290,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
291,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹326
292,Shoes for Men | Sneaker for Men | Shoes for Mens | Spor...,Footox,₹230
293,NW TAP Oxford For Men,Bata,"₹1,269"
294,Slip On For Men,Bata,₹829
295,Shoes for Men | Sneaker for Men | Shoes for Mens | Spor...,Footox,₹295
296,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
297,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
298,HY-ENERGY Badminton Shoes For Men,NIVIA,"₹1,484"
299,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹243
300,"Bersache Sports Shoes For Men|Light Grey For Running,Wa...",BERSACHE,"₹1,109"
301,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
302,"Sneaker Casual Shoes for Men | Soft Cushioned Insole, S...",RED TAPE,"₹1,119"
303,Slip On For Men,Bata,₹709
304,Women SL-123 Magenta Baby Pink Walking Shoes For Women,Sparx,₹699
305,Velocity Running Shoes For Men,HRX by Hrithik Roshan,"₹1,047"
306,Running Shoes For Men,BERSACHE,₹882
307,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
308,Colourful Block Shoes For Boys Casual Sneakers For Men,Labbin,₹599
309,Walking Shoes For Women,HRX by Hrithik Roshan,₹800
310,PATRIK PRO Running Shoes For Men,CAMPUS,₹989
311,"Bersache Sports Shoes For Men|Red For Running,Walking,g...",BERSACHE,₹649
312,Tread Run Sneakers For Men,PUMA,"₹1,800"
313,Cool Rajasthani Jutis For Men Mojaris For Men Nagra For...,Vellinto,₹499
314,Super Speed Walking Shoes For Men,REEBOK,"₹1,047"
315,Running / Walking / Sport Shoes For Men Running Shoes F...,TR,₹362
316,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
317,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
318,TITANIUM Running Shoes For Men,CAMPUS,₹839
319,"Airweave-02 Grey Gym,Sports,Training,Stylish Running Sh...",asian,"₹1,499"
320,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
321,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
322,RODEO PRO Running Shoes For Men,CAMPUS,₹870
323,Professional Cricket Shoes For Men,ASE,₹719
324,KIZER Running Shoes For Men,CAMPUS,"₹1,439"
325,CozySock Walking Shoes For Women,Kraasa,₹319
